data,algorithm,split,source_row,y_true
feature selected,PyTorch_TabularMLP,Train,389,58.658
feature selected,PyTorch_TabularMLP,Train,250,35
feature selected,PyTorch_TabularMLP,Train,361,7.7554
feature selected,PyTorch_TabularMLP,Train,234,0
feature selected,PyTorch_TabularMLP,Train,457,0.124
feature selected,PyTorch_TabularMLP,Train,66,60.1467
feature selected,PyTorch_TabularMLP,Train,523,1.2087
feature selected,PyTorch_TabularMLP,Train,639,3.6199
feature selected,PyTorch_TabularMLP,Train,390,239.6104
feature selected,PyTorch_TabularMLP,Train,369,11.7391
feature selected,PyTorch_TabularMLP,Train,360,9.5371
feature selected,PyTorch_TabularMLP,Train,215,63.7857
feature selected,PyTorch_TabularMLP,Train,98,11.6115
feature selected,PyTorch_TabularMLP,Train,207,58.5204
feature selected,PyTorch_TabularMLP,Train,464,0.6822
feature selected,PyTorch_TabularMLP,Train,208,64.3514
feature selected,PyTorch_TabularMLP,Train,538,0.0122
feature selected,PyTorch_TabularMLP,Train,276,21.2415
feature selected,PyTorch_TabularMLP,Train,264,28
feature selected,PyTorch_TabularMLP,Train,214,31.2926
feature selected,PyTorch_TabularMLP,Train,169,5.6234
feature selected,PyTorch_TabularMLP,Train,668,11.9228
feature selected,PyTorch_TabularMLP,Train,284,16.1
feature selected,PyTorch_TabularMLP,Train,168,3.4065
feature selected,PyTorch_TabularMLP,Train,293,249
feature selected,PyTorch_TabularMLP,Train,448,2.4127
feature selected,PyTorch_TabularMLP,Train,599,9.4379
feature selected,PyTorch_TabularMLP,Train,232,0
feature selected,PyTorch_TabularMLP,Train,559,18.6567
feature selected,PyTorch_TabularMLP,Train,593,4.2261
feature selected,PyTorch_TabularMLP,Train,373,153.8961
feature selected,PyTorch_TabularMLP,Train,411,1.8375
feature selected,PyTorch_TabularMLP,Train,667,11.2467
feature selected,PyTorch_TabularMLP,Train,64,62.9539
feature selected,PyTorch_TabularMLP,Train,126,8.924
feature selected,PyTorch_TabularMLP,Train,170,6.1214
feature selected,PyTorch_TabularMLP,Train,156,57.1515
feature selected,PyTorch_TabularMLP,Train,32,130
feature selected,PyTorch_TabularMLP,Train,554,23.5187
feature selected,PyTorch_TabularMLP,Train,310,160
feature selected,PyTorch_TabularMLP,Train,555,24.7525
feature selected,PyTorch_TabularMLP,Train,566,97.2533
feature selected,PyTorch_TabularMLP,Train,9,198.1857
feature selected,PyTorch_TabularMLP,Train,648,11.7647
feature selected,PyTorch_TabularMLP,Train,610,190.2757
feature selected,PyTorch_TabularMLP,Train,139,4.6607
feature selected,PyTorch_TabularMLP,Train,306,199
feature selected,PyTorch_TabularMLP,Train,428,4.562
feature selected,PyTorch_TabularMLP,Train,551,21.0396
feature selected,PyTorch_TabularMLP,Train,53,66.997
feature selected,PyTorch_TabularMLP,Train,393,231.8182
feature selected,PyTorch_TabularMLP,Train,338,0.1872
feature selected,PyTorch_TabularMLP,Train,595,4.6602
feature selected,PyTorch_TabularMLP,Train,381,203.2466
feature selected,PyTorch_TabularMLP,Train,607,188.4733
feature selected,PyTorch_TabularMLP,Train,71,12
feature selected,PyTorch_TabularMLP,Train,320,9.6
feature selected,PyTorch_TabularMLP,Train,313,110
feature selected,PyTorch_TabularMLP,Train,451,2.784
feature selected,PyTorch_TabularMLP,Train,530,0.5275
feature selected,PyTorch_TabularMLP,Train,162,1.7279
feature selected,PyTorch_TabularMLP,Train,144,7.4757
