Biomass,Heating rate (℃/min),Pyrolysis temperature (℃),Pyrolysis time（h）,Modification method,C (%),H (%),O (%),N (%),Specific surface area (m2/g）,Pore volume (cm3/g）,Average pore size (nm),pH,Adsorption time (h),Adsorbent dosage (g/l),Adsorption temperature (℃),Initial concentration (mg/l)
-2.366585584,-2.567353418,1.1204189026612499,-0.380313692,-8.397159205,-3.216185445,3.338087270329806,-2.039597244,-0.077194186,-9.461759225,-3.797112879,-3.058411697,1.6648076092800086,-0.15752178,-6.760849253,0.19892277631497488,-10.55212785
12.565296343863485,1.4791458609509913,2.6734103654359473,5.746361517751144,12.99400730808062,1.963679186932795,2.5039452917739786,0.2802657106388468,7.225692725798497,8.634301772133593,-0.077640612,8.734180323519176,-6.107010814,5.8722713969449005,1.3248801417105045,0.7708978181175268,73.54286382
0.9429958913491049,-1.390704713,-11.01516854,-3.94242484,-5.932520269,-0.15270741,-8.352942216,0.3573071658492717,0.502416517,-7.469326307,-6.902494558,1.4888227302088195,-1.694577806,-0.435558618,-0.101560782,0.2567786353088855,-7.587118658
8.043701145419242,5.002690262659188,6.986458275915146,2.053884570306878,9.502976108004773,3.2003677727831823,1.4407240394071876,-4.133044384,0.35708356746139075,14.382539867118426,12.12886061303308,-9.191140145,15.254116776443679,-27.40998642,8.959439293,1.250420601094419,-7.724483751
4.434745500222349,2.2260799112874716,4.009340024056086,1.980570294783603,38.55898341628364,-0.022811439,10.143740883128812,-0.650128167,-1.107265316,9.895398016108347,1.8710792092854756,-2.703641738,6.581378155701558,-29.41215833,-3.942544558,0.1434644922688942,43.39536859720976
4.125622424883996,4.130552106107648,2.2665664591101566,3.828239987214381,34.07224619658477,0.19255002240794195,9.101227252,-0.102523268,-0.332691713,9.458541738,1.0006916775658181,1.0534776626661642,10.359313633266657,13.343220483565954,-3.263920663,0.013005091956477314,16.272278724842398
-11.66669132,3.1363136808214986,-1.435272706,4.465420236804268,-21.97701493,-0.689735788,0.6657431330139795,-1.995522462,0.3220956546435527,-5.959527899,-4.205279304,-0.304203696,4.046968554748017,4.925700588615801,-3.681205946,0.6980770057975463,-1.891022553
0.41595069557673653,-2.198150008,-0.75809077,-5.652925057,-9.990262192,0.49285218831522953,1.1944221646329922,-2.839744248,0.28417781400967784,-9.318211469,-5.545233803,0.463634545,-2.623787684,0.2983665166491368,-0.033339127,0.33798476791546433,-7.73455377
-3.501311849,3.516216170294329,2.590467052175052,0.6544000601085868,-19.04551482,3.1308412360176376,-4.240234036,-2.779237087,-2.341890309,0.6748833142833033,3.4666107993666326,0.28573441429879787,-5.124518271,4.742220556277443,-8.909024243,0.5019742101796482,2.6658280564096195
-0.14636335,-6.056326955,0.7672592329080696,-2.488236395,-24.25589394,0.000296369,-4.2777933,-1.244280178,1.6869267698842094,-4.792927626,-3.655961864,0.3727369723597108,2.4290639056248766,4.548260736272898,1.4787986021843669,0.7154615587909293,4.6411259792522355
0.4596940705401817,-6.434194253,3.6544602439696456,-0.515126343,-14.71916088,-0.731395833,-3.390979171,-2.239842021,2.2259054916592222,-2.904265009,-2.415325917,1.1399398809169567,2.1179248624385716,-6.441881651,1.0755600843601802,0.48562078634349626,9.778089957787577
